nome;squadra_sigla;ruolo;quotazione;mercato;dispersione;prezzo_profeta_norm1000;pma_profeta;fascia_profeta;prezzo_recosta_norm1000;pma_recosta;fascia_recosta;mv;fmv;presenze;minuti;gol;assist;titolarita;affidabilita;integrita
Malen;ROM;A;34;313.1;14.5;305.8;33.1;1° Slot Relativo;320.3;33.1;Top;6.72;8.97;18;1478;14;2;5;5;5
Martinez L.;INT;A;35;308.9;61.7;278.0;32.8;1° Slot Relativo;339.7;32.8;Top;6.42;8.25;30;2177;17;6;5;5;3
Thuram;INT;A;29;251.7;40.2;231.6;25.4;1° Slot Relativo;271.8;25.4;Semi-Top;6.43;7.95;29;1914;13;6;5;5;3
Hojlund;NAP;A;28;242.0;20.8;231.6;24.2;1° Slot Relativo;252.4;24.2;Semi-Top;6.21;7.44;33;2762;12;5;4;4;4
Ramos G.;MIL;A;27;237.1;11.1;231.6;27.0;1° Slot Relativo;242.7;27.0;Semi-Top;0;0;30;1309;4;1;5;4;3
Kolo Muani;JUV;A;26;227.7;10.6;222.4;26.4;1° Slot Relativo;233.0;26.4;Semi-Top;0;0;30;1671;2;1;5;4;5
Kean;FIO;A;25;190.2;46.8;166.8;20.2;1° Slot Relativo;213.6;20.2;Semi-Top;5.88;6.76;26;2041;8;1;4;3;3
Yildiz;JUV;A;23;175.8;36.6;157.5;19.4;1° Slot Relativo;194.1;19.4;Semi-Top;6.39;7.3;35;2844;10;6;5;5;5
Paz N.;COM;C;30;161.2;7.5;157.5;17.6;1° Slot Relativo;165.0;17.6;Top;6.37;7.3;35;2887;12;5;5;5;5
McTominay;NAP;C;28;151.8;7.1;148.2;16.2;1° Slot Relativo;155.3;16.2;Top;6.39;7.25;33;2793;10;2;5;5;4
Dimarco;INT;D;32;145.6;0.1;145.5;15.0;Dimarco;145.6;15.0;Top;6.6;7.64;35;2703;7;17;5;5;4
Douvikas;COM;A;20;142.7;44.6;120.4;16.0;1° Slot Relativo;165.0;16.0;Semi-Top;6.18;7.37;36;2277;14;1;5;4;4
Orsolini;BOL;C;26;137.4;3.1;139.0;14.0;1° Slot Relativo;135.9;14.0;Top;6.06;6.77;34;2129;10;1;5;4;3
Scamacca;ATA;A;19;127.9;3.5;129.7;12.2;1° Slot Relativo;126.2;12.2;FANTA ROTTO;6.18;7.54;22;1318;10;1;3;4;1
Davis K.;UDI;A;19;123.6;24.7;111.2;13.2;2° Slot Relativo;135.9;13.2;Terza;6.32;7.37;30;2080;10;4;5;4;2
Calhanoglu;INT;C;27;118.7;15.0;111.2;14.0;1° Slot Relativo;126.2;14.0;Top;6.52;7.63;22;1651;9;4;5;5;2
Pulisic;MIL;C;25;118.7;15.0;111.2;13.2;1° Slot Relativo;126.2;13.2;Top;6.15;7.08;27;1612;8;4;5;4;2
Svilar;ROM;P;18;118.5;3.9;120.4;10.8;top;116.5;10.8;Top;6.26;5.44;38;3420;0;0;5;5;5
Berardi;SAS;A;18;104.3;4.9;101.9;8.9;2° Slot Relativo;106.8;8.9;Terza;6.31;7.19;26;1971;8;4;5;4;2
Dovbyk;BOL;A;16;104.3;4.9;101.9;9.8;2° Slot Relativo;106.8;9.8;Terza;6;6.77;13;386;3;1;3;4;1
Simeone;TOR;A;15;104.3;4.9;101.9;10.8;2° Slot Relativo;106.8;10.8;Terza;6.08;7.1;32;2246;11;0;4;4;3
Vicario;JUV;P;16;94.7;14.5;101.9;9.6;top;87.4;9.6;Top;0;0;31;2790;0;0;5;4;3
Zaniolo;UDI;C;18;94.7;14.5;101.9;9.4;1° Slot Relativo;87.4;9.4;Semi-Top;6.26;6.78;31;2272;5;5;5;4;1
Esposito F.P.;INT;A;16;94.7;14.5;101.9;7.0;2° Slot Relativo;87.4;7.0;Terza;6.26;7.02;31;1561;7;3;3;5;5
Krstovic;ATA;A;18;94.7;14.5;101.9;7.8;2° Slot Relativo;87.4;7.8;Terza;6.16;7.19;32;1787;10;5;3;4;5
Maignan;MIL;P;15;90.2;13.7;83.4;9.4;semitop;97.1;9.4;Top;6.26;5.42;37;3296;0;0;5;5;3
Baturina;COM;C;19;90.2;13.7;83.4;10.6;1° Slot Relativo;97.1;10.6;Semi-Top;6.3;7.14;25;1591;6;3;4;5;5
Martinez Jo.;INT;P;17;90.1;5.3;92.7;9.2;top;87.4;9.2;Top;6;5.2;5;450;0;0;3;4;5
Carnesecchi;ATA;P;16;85.4;4.0;83.4;9.1;semitop;87.4;9.1;Top;6.36;5.58;37;3330;0;0;5;5;4
Laurientè;SAS;A;15;85.4;4.0;83.4;6.0;2° Slot Relativo;87.4;6.0;Terza;6.23;6.99;37;2614;7;9;5;4;4
Butez;COM;P;16;85.2;15.0;92.7;9.0;top;77.7;9.0;Top;6.07;5.37;38;3420;0;1;5;5;5
Alajbegovic;JUV;C;12;85.2;15.0;92.7;8.2;1° Slot Relativo;77.7;8.2;Semi-Top;0;0;28;1912;9;3;4;3;5
Dybala;ROM;A;14;85.2;15.0;92.7;8.2;2° Slot Relativo;77.7;8.2;FANTA ROTTO;6.26;6.74;21;1356;2;7;3;5;1
Atta;FIO;C;17;83.5;0.1;83.4;9.3;1° Slot Relativo;83.5;9.3;Semi-Top;6.36;6.88;32;2564;5;3;5;5;3
Meret;NAP;P;11;80.3;24.8;92.7;8.0;top;67.9;8.0;Top;6.23;5.18;11;980;0;1;3;4;2
Pellegrino M.;FIO;A;15;75.9;3.6;74.1;4.4;2° Slot Relativo;77.7;4.4;Terza;5.99;6.65;37;2994;9;0;3;4;4
Wesley;ROM;D;17;71.3;12.8;64.9;8.8;1° Slot Relativo;77.7;8.8;Top;6.12;6.47;30;2457;5;0;5;4;3
Castro S.;ROM;A;14;71.0;6.2;74.1;5.0;2° Slot Relativo;67.9;5.0;Quarta;5.93;6.52;35;2365;7;1;3;4;4
Colombo;GEN;A;11;69.3;8.9;64.9;5.6;3° Slot Relativo;73.8;5.6;Terza;5.92;6.41;37;2346;7;1;5;3;4
Da Cunha;COM;C;18;67.0;9.7;62.1;8.0;2° Slot Relativo;71.8;8.0;Semi-Top;6.34;6.91;35;2747;6;4;5;5;5
Zaccagni;LAZ;C;16;66.7;22.1;55.6;8.2;2° Slot Relativo;77.7;8.2;ALTO POTENZIALE;5.88;5.96;26;2114;3;0;5;3;2
Akanji;INT;D;16;66.4;3.0;64.9;6.0;1° Slot Relativo;67.9;6.0;Top;6.28;6.41;32;2820;2;0;5;5;4
Bremer;JUV;D;15;66.4;3.0;64.9;6.2;1° Slot Relativo;67.9;6.2;Top;6.33;6.81;26;2175;4;3;5;5;1
De Bruyne;NAP;C;15;66.4;3.0;64.9;7.2;2° Slot Relativo;67.9;7.2;Semi-Top;6.26;7.23;17;1169;5;2;4;4;1
Mastantuono;FIO;C;12;66.4;3.0;64.9;8.8;2° Slot Relativo;67.9;8.8;Semi-Top;0;0;23;1036;0;0;4;4;5
Vlasic;TOR;C;14;66.4;3.0;64.9;7.4;2° Slot Relativo;67.9;7.4;Semi-Top;6.03;6.67;37;3056;8;3;5;4;3
Mora;ROM;C;19;66.2;15.9;74.1;7.2;1° Slot Relativo;58.2;7.2;Terza;0;0;28;1181;1;1;4;4;5
Barella;INT;C;17;64.5;0.8;64.9;6.6;2° Slot Relativo;64.1;6.6;Semi-Top;6.28;6.71;34;2534;3;9;4;5;4
Rabiot;MIL;C;22;63.7;16.2;55.6;7.8;2° Slot Relativo;71.8;7.8;Semi-Top;6.33;6.99;29;2550;6;4;5;4;3
Leao;MIL;A;18;61.8;12.3;55.6;5.6;3° Slot Relativo;67.9;5.6;Terza;5.88;6.86;28;1872;9;3;3;4;3
Rowe;BOL;C;11;61.6;6.7;64.9;6.1;2° Slot Relativo;58.2;6.1;ALTO POTENZIALE;6.2;6.59;28;1609;3;3;4;5;4
Pinamonti;SAS;A;13;60.2;3.9;62.1;4.4;3° Slot Relativo;58.2;4.4;Terza;5.88;6.62;34;2575;9;3;3;3;4
Santos A.;NAP;A;14;60.2;3.9;62.1;6.0;3° Slot Relativo;58.2;6.0;Quarta;6.35;7.23;13;840;4;0;4;5;5
Zielinski;INT;C;10;59.7;10.5;64.9;6.0;2° Slot Relativo;54.4;6.0;Terza;6.25;6.8;30;2045;6;2;3;5;3
De Ketelaere;ATA;A;17;58.5;18.8;49.1;7.4;3° Slot Relativo;67.9;7.4;Quarta;6.21;6.6;31;2189;3;5;5;4;2
De Gea;FIO;P;13;56.9;2.6;55.6;6.4;semitop;58.2;6.4;Semi-Top;6.24;4.98;37;3330;0;0;5;4;5
Gudmundsson A.;FIO;C;13;55.7;24.4;43.5;5.8;3° Slot Relativo;67.9;5.8;ALTO POTENZIALE;5.88;6.35;32;2262;5;3;3;4;3
Molina N.;ROM;D;18;53.7;9.1;49.1;7.9;1° Slot Relativo;58.2;7.9;Semi-Top;0;0;26;1321;2;1;4;4;2
Moreira;MIL;C;12;53.7;9.1;49.1;6.0;2° Slot Relativo;58.2;6.0;Terza;0;0;27;2045;0;0;4;4;3
Raspadori;ATA;A;13;53.7;9.1;49.1;5.0;3° Slot Relativo;58.2;5.0;Quarta;6.12;6.89;13;792;3;1;4;4;3
Bastoni;INT;D;14;52.0;7.1;55.6;6.2;1° Slot Relativo;48.5;6.2;Semi-Top;6.2;6.34;28;2251;1;4;5;4;3
Mancini;ROM;D;15;52.0;7.1;55.6;5.4;1° Slot Relativo;48.5;5.4;Semi-Top;6.25;6.51;36;3068;4;2;5;5;5
Pavlovic;MIL;D;14;52.0;7.1;55.6;4.9;1° Slot Relativo;48.5;4.9;Semi-Top;6.24;6.62;34;2872;5;0;5;5;4
